x_codigo,x_zipcode_id,x_colonia,x_name
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1775 Colonias,0241 - 1775 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1776 Colonias,0241 - 1776 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1777 Colonias,0241 - 1777 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1778 Colonias,0241 - 1778 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1779 Colonias,0241 - 1779 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1780 Colonias,0241 - 1780 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1781 Colonias,0241 - 1781 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1782 Colonias,0241 - 1782 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1783 Colonias,0241 - 1783 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1784 Colonias,0241 - 1784 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1785 Colonias,0241 - 1785 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1786 Colonias,0241 - 1786 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1787 Colonias,0241 - 1787 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1788 Colonias,0241 - 1788 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1789 Colonias,0241 - 1789 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1790 Colonias,0241 - 1790 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1791 Colonias,0241 - 1791 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,1792 Colonias,0241 - 1792 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
