x_codigo,x_zipcode_id,x_colonia,x_name
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,825 Colonias,0241 - 825 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,826 Colonias,0241 - 826 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,827 Colonias,0241 - 827 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,828 Colonias,0241 - 828 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,829 Colonias,0241 - 829 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,830 Colonias,0241 - 830 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,831 Colonias,0241 - 831 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,832 Colonias,0241 - 832 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,833 Colonias,0241 - 833 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,834 Colonias,0241 - 834 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,835 Colonias,0241 - 835 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,836 Colonias,0241 - 836 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,837 Colonias,0241 - 837 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,838 Colonias,0241 - 838 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,839 Colonias,0241 - 839 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,840 Colonias,0241 - 840 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,841 Colonias,0241 - 841 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,842 Colonias,0241 - 842 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
